diff --git a/dist/practice/users.txt b/dist/practice/users.txt
new file mode 100644
index 0000000000000000000000000000000000000000..2aeae60ef3930346624db5740aacc4548f286ec4
--- /dev/null
+++ b/dist/practice/users.txt
@@ -0,0 +1,1001 @@
+Имя | Увлечения | Возраст | Профессия
+Иван | [чтение] | 18 | инженер
+Мария | [кодинг, фотография, шахматы] | 43 | инженер
+Владимир | [путешествия, спорт] | 23 | врач
+Иван | [шахматы] | 50 | учитель
+Владимир | [кодинг, шахматы] | 55 | разработчик
+Екатерина | [кодинг] | 21 | учитель
+Ольга | [спорт, чтение] | 47 | аналитик данных
+Алексей | [садоводство] | 26 | аналитик данных
+Ирина | [шахматы] | 51 | инженер
+Дмитрий | [шахматы] | 35 | разработчик
+Татьяна | [путешествия, фотография] | 35 | разработчик
+Михаил | [садоводство] | 50 | маркетолог
+Анна | [путешествия, кулинария] | 41 | врач
+Ольга | [чтение] | 32 | аналитик данных
+Екатерина | [кодинг, путешествия] | 20 | дизайнер
+Анна | [шахматы] | 20 | экономист
+Екатерина | [путешествия, кулинария] | 44 | маркетолог
+Ирина | [фотография] | 25 | аналитик данных
+Мария | [кулинария, кодинг] | 43 | разработчик
+Наталья | [садоводство, чтение, спорт] | 38 | разработчик
+Сергей | [фотография, садоводство, спорт] | 36 | инженер
+Светлана | [чтение] | 30 | учитель
+Татьяна | [шахматы, садоводство, кодинг] | 19 | учитель
+Алексей | [кодинг, садоводство, шахматы] | 39 | аналитик данных
+Наталья | [фотография, садоводство, кодинг] | 24 | учитель
+Мария | [чтение] | 27 | инженер
+Екатерина | [шахматы, фотография, садоводство] | 51 | экономист
+Иван | [спорт, шахматы, фотография] | 55 | разработчик
+Иван | [спорт, путешествия] | 55 | аналитик данных
+Наталья | [шахматы, спорт] | 34 | маркетолог
+Михаил | [фотография] | 35 | учитель
+Дмитрий | [путешествия] | 55 | разработчик
+Анна | [кодинг, чтение] | 46 | дизайнер
+Ирина | [садоводство, спорт] | 31 | дизайнер
+Ольга | [кулинария, кодинг, шахматы] | 23 | врач
+Мария | [путешествия] | 31 | маркетолог
+Екатерина | [чтение, шахматы, спорт] | 40 | экономист
+Николай | [садоводство, кулинария] | 29 | аналитик данных
+Екатерина | [спорт] | 24 | дизайнер
+Ольга | [спорт] | 18 | аналитик данных
+Сергей | [путешествия, кулинария, кодинг] | 43 | маркетолог
+Николай | [фотография] | 22 | аналитик данных
+Михаил | [путешествия, чтение] | 26 | разработчик
+Михаил | [кодинг, садоводство, шахматы] | 21 | врач
+Владимир | [кодинг, путешествия] | 49 | аналитик данных
+Ирина | [кулинария, фотография] | 31 | врач
+Дмитрий | [кулинария, фотография, кодинг] | 20 | учитель
+Светлана | [кодинг, путешествия] | 21 | разработчик
+Татьяна | [чтение, фотография, шахматы] | 30 | учитель
+Ирина | [шахматы, фотография] | 48 | дизайнер
+Николай | [фотография, чтение] | 29 | аналитик данных
+Николай | [шахматы, кодинг, кулинария] | 21 | дизайнер
+Екатерина | [фотография] | 28 | разработчик
+Николай | [кодинг] | 52 | аналитик данных
+Ирина | [шахматы] | 29 | врач
+Ирина | [шахматы, кулинария, кодинг] | 55 | аналитик данных
+Дмитрий | [кулинария, путешествия] | 54 | учитель
+Светлана | [фотография] | 20 | разработчик
+Екатерина | [шахматы] | 19 | дизайнер
+Сергей | [спорт, кодинг, садоводство] | 26 | маркетолог
+Мария | [спорт, кодинг, чтение] | 19 | врач
+Ирина | [кодинг, кулинария, чтение] | 22 | маркетолог
+Павел | [спорт] | 37 | маркетолог
+Татьяна | [шахматы, путешествия, садоводство] | 58 | дизайнер
+Ирина | [кулинария, шахматы] | 32 | врач
+Наталья | [чтение, шахматы, кулинария] | 26 | врач
+Владимир | [шахматы] | 54 | аналитик данных
+Екатерина | [спорт, садоводство] | 58 | разработчик
+Иван | [спорт, шахматы] | 33 | маркетолог
+Иван | [чтение, спорт] | 60 | маркетолог
+Сергей | [кулинария, кодинг] | 33 | разработчик
+Ольга | [садоводство, шахматы] | 18 | аналитик данных
+Татьяна | [кодинг, спорт] | 28 | экономист
+Владимир | [фотография, путешествия, садоводство] | 24 | дизайнер
+Иван | [шахматы] | 20 | инженер
+Николай | [спорт, фотография] | 24 | разработчик
+Анна | [садоводство, шахматы] | 22 | разработчик
+Алексей | [кодинг, путешествия, чтение] | 45 | врач
+Ольга | [кодинг] | 39 | учитель
+Николай | [фотография, чтение] | 60 | инженер
+Мария | [чтение] | 43 | дизайнер
+Ирина | [кулинария] | 18 | экономист
+Светлана | [фотография] | 30 | разработчик
+Анна | [садоводство] | 58 | инженер
+Ольга | [садоводство, шахматы] | 37 | экономист
+Николай | [шахматы] | 23 | экономист
+Владимир | [чтение, спорт] | 41 | врач
+Михаил | [кулинария] | 47 | инженер
+Мария | [шахматы] | 27 | разработчик
+Татьяна | [чтение, кодинг, фотография] | 55 | учитель
+Татьяна | [фотография, садоводство, спорт] | 52 | дизайнер
+Иван | [спорт, чтение, фотография] | 43 | аналитик данных
+Анна | [спорт] | 28 | учитель
+Мария | [кодинг, путешествия, шахматы] | 45 | разработчик
+Дмитрий | [путешествия, чтение] | 56 | инженер
+Владимир | [шахматы, кодинг, спорт] | 53 | экономист
+Михаил | [кодинг] | 18 | экономист
+Дмитрий | [путешествия] | 27 | разработчик
+Наталья | [кулинария, фотография] | 52 | маркетолог
+Светлана | [спорт] | 54 | дизайнер
+Николай | [кодинг, чтение, фотография] | 43 | врач
+Павел | [садоводство, спорт, кодинг] | 33 | аналитик данных
+Алексей | [кулинария, кодинг] | 39 | инженер
+Светлана | [кулинария] | 24 | учитель
+Михаил | [кодинг, кулинария, шахматы] | 38 | инженер
+Иван | [кодинг] | 30 | дизайнер
+Светлана | [спорт] | 51 | маркетолог
+Иван | [чтение] | 37 | экономист
+Анна | [фотография] | 30 | учитель
+Мария | [фотография, спорт] | 47 | аналитик данных
+Ирина | [путешествия, шахматы, чтение] | 47 | экономист
+Екатерина | [садоводство, путешествия, фотография] | 41 | дизайнер
+Ирина | [путешествия, спорт] | 40 | врач
+Алексей | [фотография] | 42 | аналитик данных
+Екатерина | [фотография, спорт, шахматы] | 59 | учитель
+Татьяна | [чтение, фотография, путешествия] | 50 | аналитик данных
+Анна | [кулинария] | 56 | аналитик данных
+Наталья | [кодинг, садоводство] | 59 | инженер
+Ирина | [садоводство] | 47 | инженер
+Наталья | [путешествия, чтение, кулинария] | 51 | экономист
+Ирина | [путешествия, фотография] | 53 | инженер
+Иван | [шахматы, кодинг, спорт] | 39 | инженер
+Николай | [спорт] | 59 | инженер
+Екатерина | [шахматы, садоводство, путешествия] | 21 | экономист
+Алексей | [кулинария, фотография] | 59 | дизайнер
+Владимир | [фотография, спорт, шахматы] | 42 | аналитик данных
+Екатерина | [шахматы, кулинария, спорт] | 52 | дизайнер
+Анна | [путешествия, фотография] | 60 | врач
+Дмитрий | [шахматы, садоводство, чтение] | 34 | врач
+Екатерина | [кулинария, фотография, спорт] | 40 | учитель
+Ирина | [путешествия, фотография] | 34 | инженер
+Мария | [фотография, кулинария] | 58 | разработчик
+Ольга | [чтение, кодинг] | 42 | инженер
+Дмитрий | [кодинг, кулинария] | 26 | учитель
+Михаил | [спорт, кодинг, чтение] | 27 | маркетолог
+Светлана | [чтение, садоводство] | 39 | врач
+Михаил | [спорт] | 35 | учитель
+Светлана | [кодинг, шахматы, фотография] | 23 | врач
+Владимир | [чтение, садоводство] | 45 | дизайнер
+Сергей | [фотография, чтение] | 41 | аналитик данных
+Алексей | [шахматы] | 58 | учитель
+Наталья | [кулинария, путешествия] | 26 | разработчик
+Иван | [садоводство, шахматы] | 20 | инженер
+Павел | [садоводство, спорт] | 45 | врач
+Сергей | [фотография] | 28 | экономист
+Екатерина | [чтение, кулинария, кодинг] | 26 | учитель
+Анна | [чтение, фотография, шахматы] | 25 | маркетолог
+Николай | [чтение, шахматы, садоводство] | 52 | аналитик данных
+Алексей | [садоводство, фотография] | 21 | разработчик
+Ольга | [спорт, путешествия] | 53 | инженер
+Алексей | [путешествия, шахматы, кулинария] | 37 | экономист
+Николай | [путешествия, кулинария] | 57 | врач
+Ольга | [садоводство] | 36 | разработчик
+Сергей | [фотография, спорт] | 56 | учитель
+Татьяна | [садоводство] | 36 | врач
+Сергей | [чтение] | 48 | маркетолог
+Алексей | [садоводство] | 60 | разработчик
+Дмитрий | [путешествия, спорт, шахматы] | 23 | разработчик
+Екатерина | [садоводство, чтение] | 47 | инженер
+Ольга | [шахматы, кодинг] | 29 | аналитик данных
+Павел | [чтение] | 45 | разработчик
+Алексей | [шахматы, фотография] | 26 | врач
+Николай | [спорт, чтение] | 23 | маркетолог
+Владимир | [кодинг, шахматы] | 43 | дизайнер
+Светлана | [спорт] | 44 | врач
+Мария | [садоводство, кодинг] | 28 | разработчик
+Михаил | [чтение, кодинг] | 29 | экономист
+Дмитрий | [кодинг] | 48 | дизайнер
+Михаил | [шахматы, чтение] | 20 | разработчик
+Екатерина | [путешествия, фотография, шахматы] | 60 | маркетолог
+Екатерина | [кодинг, путешествия, кулинария] | 48 | маркетолог
+Мария | [садоводство, кодинг, фотография] | 18 | врач
+Анна | [фотография, спорт] | 22 | дизайнер
+Николай | [кодинг, фотография, путешествия] | 21 | учитель
+Иван | [садоводство, чтение, фотография] | 47 | дизайнер
+Михаил | [чтение, садоводство] | 38 | разработчик
+Владимир | [чтение, кодинг, садоводство] | 44 | аналитик данных
+Наталья | [садоводство, спорт, кодинг] | 50 | учитель
+Мария | [садоводство, шахматы] | 32 | дизайнер
+Ирина | [фотография] | 46 | разработчик
+Алексей | [кулинария, садоводство, кодинг] | 39 | маркетолог
+Ирина | [садоводство] | 24 | аналитик данных
+Дмитрий | [фотография, путешествия] | 44 | разработчик
+Ольга | [фотография, шахматы] | 43 | учитель
+Павел | [путешествия] | 24 | экономист
+Михаил | [чтение, кулинария] | 47 | врач
+Мария | [садоводство, кулинария, путешествия] | 53 | экономист
+Анна | [шахматы, кулинария] | 26 | разработчик
+Владимир | [кодинг, спорт] | 44 | учитель
+Наталья | [кодинг] | 46 | врач
+Наталья | [фотография, путешествия, кодинг] | 53 | маркетолог
+Наталья | [спорт, кулинария, кодинг] | 40 | врач
+Павел | [садоводство, кулинария, кодинг] | 25 | маркетолог
+Татьяна | [чтение, кулинария] | 52 | инженер
+Ольга | [чтение] | 19 | экономист
+Мария | [кулинария] | 30 | инженер
+Николай | [кулинария, путешествия, садоводство] | 27 | аналитик данных
+Мария | [фотография] | 40 | дизайнер
+Владимир | [чтение, фотография, кодинг] | 33 | инженер
+Татьяна | [кулинария] | 38 | аналитик данных
+Сергей | [шахматы] | 57 | дизайнер
+Сергей | [спорт, шахматы] | 30 | инженер
+Иван | [путешествия, фотография, чтение] | 29 | врач
+Татьяна | [спорт] | 35 | инженер
+Николай | [спорт, чтение] | 18 | маркетолог
+Дмитрий | [кулинария, фотография, садоводство] | 38 | аналитик данных
+Ирина | [фотография, путешествия, кулинария] | 22 | маркетолог
+Иван | [кодинг, чтение] | 50 | врач
+Ирина | [шахматы, спорт, кодинг] | 32 | учитель
+Наталья | [чтение, садоводство, шахматы] | 31 | дизайнер
+Ирина | [фотография, чтение, шахматы] | 46 | учитель
+Павел | [кулинария, садоводство] | 42 | разработчик
+Наталья | [садоводство, фотография, чтение] | 19 | маркетолог
+Наталья | [путешествия, чтение] | 59 | учитель
+Анна | [путешествия, садоводство, шахматы] | 52 | аналитик данных
+Сергей | [кодинг] | 45 | разработчик
+Иван | [шахматы, чтение] | 27 | аналитик данных
+Иван | [кулинария] | 22 | аналитик данных
+Иван | [кодинг, фотография] | 54 | учитель
+Михаил | [шахматы, чтение] | 58 | экономист
+Владимир | [путешествия, кодинг, шахматы] | 25 | аналитик данных
+Мария | [путешествия, спорт, шахматы] | 22 | маркетолог
+Наталья | [садоводство, фотография] | 56 | разработчик
+Владимир | [спорт, кулинария] | 60 | аналитик данных
+Екатерина | [кулинария, шахматы, путешествия] | 26 | экономист
+Наталья | [спорт] | 59 | маркетолог
+Ольга | [кодинг, кулинария, садоводство] | 20 | аналитик данных
+Иван | [шахматы, путешествия, фотография] | 37 | учитель
+Дмитрий | [кулинария] | 28 | врач
+Сергей | [чтение, кодинг, кулинария] | 25 | врач
+Михаил | [путешествия, спорт] | 59 | разработчик
+Ольга | [шахматы, путешествия] | 30 | дизайнер
+Екатерина | [путешествия, садоводство, спорт] | 24 | инженер
+Светлана | [кулинария, шахматы, садоводство] | 46 | маркетолог
+Дмитрий | [кодинг, путешествия] | 54 | маркетолог
+Алексей | [кодинг] | 38 | учитель
+Николай | [шахматы, фотография, кодинг] | 41 | врач
+Михаил | [путешествия, садоводство] | 40 | инженер
+Иван | [фотография, спорт, шахматы] | 35 | врач
+Иван | [чтение, кодинг, кулинария] | 22 | аналитик данных
+Владимир | [кулинария] | 55 | учитель
+Светлана | [кодинг, путешествия] | 59 | врач
+Наталья | [путешествия, фотография, спорт] | 26 | дизайнер
+Алексей | [спорт, кодинг, кулинария] | 60 | учитель
+Дмитрий | [спорт] | 46 | врач
+Светлана | [садоводство] | 40 | аналитик данных
+Екатерина | [фотография, чтение] | 22 | инженер
+Сергей | [садоводство, фотография] | 51 | маркетолог
+Мария | [кулинария] | 20 | маркетолог
+Николай | [кодинг, спорт] | 55 | врач
+Иван | [фотография, кулинария] | 51 | инженер
+Владимир | [садоводство, кулинария] | 40 | маркетолог
+Алексей | [спорт, путешествия] | 50 | врач
+Иван | [спорт] | 50 | инженер
+Анна | [путешествия, шахматы, садоводство] | 28 | маркетолог
+Татьяна | [садоводство, фотография] | 39 | разработчик
+Сергей | [кодинг, чтение, путешествия] | 55 | врач
+Мария | [чтение] | 26 | врач
+Дмитрий | [спорт, кулинария] | 21 | врач
+Владимир | [кулинария, чтение, путешествия] | 56 | аналитик данных
+Михаил | [спорт, путешествия] | 56 | дизайнер
+Татьяна | [спорт, кулинария, шахматы] | 56 | врач
+Николай | [путешествия, садоводство] | 28 | маркетолог
+Владимир | [чтение] | 42 | врач
+Сергей | [путешествия] | 51 | экономист
+Анна | [путешествия, чтение, фотография] | 48 | аналитик данных
+Дмитрий | [кодинг, кулинария, фотография] | 56 | аналитик данных
+Ирина | [садоводство] | 20 | экономист
+Владимир | [спорт, садоводство] | 40 | разработчик
+Светлана | [кодинг, спорт] | 32 | разработчик
+Сергей | [путешествия, кулинария, чтение] | 18 | аналитик данных
+Владимир | [шахматы, фотография, спорт] | 59 | учитель
+Ольга | [кулинария, спорт, садоводство] | 27 | экономист
+Татьяна | [кулинария, шахматы, фотография] | 54 | маркетолог
+Сергей | [шахматы] | 44 | дизайнер
+Светлана | [шахматы, кодинг, садоводство] | 34 | инженер
+Владимир | [фотография, садоводство, шахматы] | 26 | разработчик
+Анна | [кодинг, садоводство, спорт] | 24 | учитель
+Мария | [чтение, кодинг, садоводство] | 28 | экономист
+Дмитрий | [путешествия] | 48 | экономист
+Николай | [чтение] | 32 | маркетолог
+Владимир | [чтение, кодинг, путешествия] | 43 | инженер
+Светлана | [кулинария] | 46 | аналитик данных
+Сергей | [спорт, шахматы, чтение] | 20 | учитель
+Ирина | [путешествия] | 33 | аналитик данных
+Николай | [кодинг, фотография, кулинария] | 43 | маркетолог
+Сергей | [путешествия, чтение, кулинария] | 51 | аналитик данных
+Наталья | [кулинария, путешествия] | 53 | маркетолог
+Сергей | [чтение, спорт, путешествия] | 47 | экономист
+Татьяна | [путешествия, кулинария, спорт] | 50 | разработчик
+Павел | [кулинария, шахматы, фотография] | 25 | инженер
+Владимир | [шахматы] | 54 | дизайнер
+Михаил | [путешествия, спорт] | 47 | аналитик данных
+Иван | [фотография, кодинг, спорт] | 42 | учитель
+Татьяна | [кулинария, путешествия, спорт] | 40 | аналитик данных
+Иван | [спорт] | 43 | маркетолог
+Светлана | [кулинария] | 38 | маркетолог
+Анна | [фотография, путешествия, шахматы] | 30 | дизайнер
+Екатерина | [фотография] | 34 | учитель
+Екатерина | [путешествия] | 57 | маркетолог
+Ольга | [чтение, кодинг, кулинария] | 23 | дизайнер
+Мария | [шахматы, фотография, кулинария] | 48 | маркетолог
+Николай | [кулинария, фотография, путешествия] | 49 | врач
+Дмитрий | [чтение, кулинария] | 21 | экономист
+Ирина | [путешествия, шахматы] | 43 | врач
+Михаил | [фотография] | 38 | аналитик данных
+Владимир | [шахматы, кулинария] | 55 | разработчик
+Николай | [кулинария] | 29 | инженер
+Светлана | [спорт, фотография] | 57 | маркетолог
+Татьяна | [шахматы, спорт, фотография] | 31 | экономист
+Николай | [спорт, кулинария, шахматы] | 46 | врач
+Екатерина | [кодинг] | 24 | инженер
+Владимир | [спорт, фотография, чтение] | 30 | врач
+Анна | [шахматы] | 44 | дизайнер
+Светлана | [чтение, фотография, садоводство] | 37 | инженер
+Анна | [садоводство, кодинг] | 21 | учитель
+Ольга | [шахматы, спорт] | 46 | маркетолог
+Николай | [путешествия, спорт] | 40 | аналитик данных
+Сергей | [шахматы, спорт] | 54 | врач
+Светлана | [кулинария, фотография] | 46 | разработчик
+Дмитрий | [кодинг, садоводство] | 28 | маркетолог
+Иван | [фотография, спорт] | 23 | врач
+Павел | [кулинария, садоводство, шахматы] | 59 | инженер
+Владимир | [садоводство, фотография] | 35 | дизайнер
+Анна | [фотография] | 29 | аналитик данных
+Николай | [кодинг] | 23 | учитель
+Ольга | [чтение, садоводство] | 24 | разработчик
+Владимир | [кулинария] | 51 | разработчик
+Дмитрий | [фотография, путешествия] | 23 | экономист
+Наталья | [спорт] | 46 | врач
+Алексей | [садоводство, фотография] | 20 | маркетолог
+Николай | [спорт] | 53 | дизайнер
+Михаил | [кулинария, спорт, фотография] | 58 | экономист
+Екатерина | [шахматы, фотография] | 23 | дизайнер
+Николай | [чтение] | 27 | инженер
+Дмитрий | [чтение, шахматы] | 40 | инженер
+Светлана | [кодинг] | 48 | инженер
+Наталья | [шахматы] | 56 | учитель
+Сергей | [фотография, путешествия] | 44 | экономист
+Владимир | [путешествия, фотография] | 42 | учитель
+Екатерина | [кулинария, фотография] | 51 | инженер
+Сергей | [кулинария] | 22 | врач
+Ольга | [садоводство, спорт, шахматы] | 58 | дизайнер
+Светлана | [спорт] | 30 | маркетолог
+Мария | [путешествия] | 52 | аналитик данных
+Наталья | [садоводство, шахматы, чтение] | 35 | врач
+Екатерина | [садоводство] | 23 | врач
+Сергей | [садоводство, спорт] | 39 | экономист
+Михаил | [спорт] | 20 | маркетолог
+Мария | [садоводство] | 35 | экономист
+Анна | [чтение, садоводство] | 30 | инженер
+Екатерина | [чтение] | 42 | дизайнер
+Сергей | [фотография, садоводство, кодинг] | 47 | разработчик
+Наталья | [чтение, шахматы, кулинария] | 38 | врач
+Ольга | [кулинария, путешествия, спорт] | 34 | дизайнер
+Мария | [фотография] | 60 | учитель
+Татьяна | [кулинария] | 38 | аналитик данных
+Ольга | [чтение] | 43 | учитель
+Светлана | [путешествия, садоводство] | 56 | врач
+Анна | [шахматы, кодинг, садоводство] | 49 | разработчик
+Мария | [спорт, шахматы, кулинария] | 21 | маркетолог
+Ольга | [шахматы] | 26 | дизайнер
+Ирина | [кодинг] | 46 | учитель
+Ирина | [садоводство] | 26 | инженер
+Михаил | [садоводство, путешествия, кулинария] | 53 | инженер
+Анна | [садоводство, спорт] | 52 | маркетолог
+Анна | [кулинария, кодинг] | 22 | врач
+Николай | [чтение, кодинг] | 52 | маркетолог
+Владимир | [шахматы, кодинг, кулинария] | 29 | аналитик данных
+Екатерина | [кодинг, путешествия, кулинария] | 38 | разработчик
+Светлана | [кулинария, спорт, фотография] | 53 | врач
+Павел | [путешествия, чтение, садоводство] | 25 | разработчик
+Анна | [садоводство] | 20 | учитель
+Сергей | [кодинг, шахматы, фотография] | 24 | аналитик данных
+Николай | [путешествия] | 21 | маркетолог
+Алексей | [садоводство] | 31 | дизайнер
+Мария | [чтение, кодинг] | 41 | экономист
+Николай | [путешествия, кодинг, спорт] | 51 | аналитик данных
+Иван | [фотография] | 31 | разработчик
+Владимир | [фотография, кулинария, шахматы] | 30 | учитель
+Анна | [путешествия, кодинг, шахматы] | 53 | экономист
+Ирина | [спорт] | 47 | экономист
+Анна | [шахматы, садоводство, путешествия] | 53 | экономист
+Михаил | [шахматы, кодинг, спорт] | 40 | маркетолог
+Татьяна | [шахматы, кулинария, путешествия] | 58 | экономист
+Сергей | [садоводство, фотография] | 42 | инженер
+Владимир | [чтение, кулинария] | 18 | аналитик данных
+Дмитрий | [фотография, путешествия] | 37 | аналитик данных
+Павел | [спорт, чтение, кодинг] | 19 | инженер
+Михаил | [кулинария] | 40 | врач
+Ирина | [кулинария] | 55 | учитель
+Наталья | [фотография, шахматы, чтение] | 23 | экономист
+Павел | [путешествия, кулинария] | 48 | врач
+Наталья | [чтение] | 20 | экономист
+Павел | [путешествия, кодинг] | 40 | экономист
+Екатерина | [кодинг, чтение, спорт] | 59 | аналитик данных
+Мария | [фотография, путешествия] | 38 | врач
+Мария | [путешествия, садоводство, фотография] | 43 | дизайнер
+Наталья | [шахматы] | 43 | врач
+Иван | [кодинг, спорт, чтение] | 48 | аналитик данных
+Владимир | [спорт, кодинг, путешествия] | 50 | экономист
+Светлана | [кодинг, шахматы] | 53 | учитель
+Сергей | [путешествия] | 53 | учитель
+Николай | [путешествия, чтение, шахматы] | 45 | маркетолог
+Татьяна | [фотография, спорт] | 45 | маркетолог
+Ирина | [спорт, садоводство] | 56 | аналитик данных
+Михаил | [чтение, кодинг] | 57 | врач
+Екатерина | [путешествия] | 30 | маркетолог
+Ольга | [спорт, кодинг, садоводство] | 21 | учитель
+Алексей | [садоводство, фотография] | 39 | разработчик
+Алексей | [фотография, путешествия, кулинария] | 39 | учитель
+Николай | [спорт, шахматы, кодинг] | 53 | дизайнер
+Алексей | [спорт, чтение] | 42 | аналитик данных
+Наталья | [садоводство] | 30 | инженер
+Алексей | [кулинария, шахматы, кодинг] | 22 | экономист
+Ирина | [кодинг, путешествия] | 24 | аналитик данных
+Владимир | [садоводство, кодинг] | 50 | разработчик
+Иван | [садоводство, кулинария, шахматы] | 29 | учитель
+Алексей | [кулинария, спорт, фотография] | 20 | учитель
+Владимир | [шахматы, спорт] | 28 | аналитик данных
+Наталья | [кулинария] | 33 | инженер
+Владимир | [спорт] | 19 | инженер
+Павел | [кодинг] | 43 | врач
+Екатерина | [спорт, фотография, садоводство] | 44 | учитель
+Павел | [спорт] | 46 | врач
+Сергей | [спорт, фотография, путешествия] | 26 | инженер
+Анна | [путешествия, садоводство, спорт] | 38 | разработчик
+Дмитрий | [кодинг, спорт] | 19 | маркетолог
+Михаил | [фотография] | 58 | инженер
+Ольга | [кулинария] | 26 | врач
+Екатерина | [чтение] | 56 | учитель
+Ирина | [садоводство] | 23 | дизайнер
+Ирина | [садоводство, путешествия] | 29 | экономист
+Анна | [кодинг] | 30 | учитель
+Алексей | [фотография] | 35 | экономист
+Сергей | [садоводство, шахматы] | 22 | врач
+Павел | [кодинг, садоводство] | 47 | учитель
+Мария | [шахматы, фотография, кулинария] | 56 | экономист
+Мария | [садоводство, кодинг] | 51 | разработчик
+Мария | [чтение, кулинария, фотография] | 33 | экономист
+Мария | [кодинг, спорт] | 30 | инженер
+Наталья | [кулинария, садоводство] | 47 | врач
+Мария | [садоводство, чтение] | 51 | врач
+Ольга | [кодинг, спорт] | 29 | врач
+Михаил | [фотография, садоводство] | 19 | врач
+Иван | [спорт, шахматы, кодинг] | 34 | маркетолог
+Ольга | [садоводство, шахматы, спорт] | 23 | разработчик
+Иван | [спорт, фотография, кулинария] | 51 | экономист
+Владимир | [спорт, путешествия] | 20 | врач
+Дмитрий | [кулинария, спорт] | 29 | аналитик данных
+Михаил | [спорт] | 36 | врач
+Сергей | [садоводство] | 18 | инженер
+Светлана | [садоводство, путешествия, кодинг] | 49 | аналитик данных
+Светлана | [путешествия, кулинария] | 47 | экономист
+Алексей | [фотография, чтение, путешествия] | 33 | инженер
+Дмитрий | [спорт] | 21 | маркетолог
+Мария | [путешествия, чтение] | 60 | инженер
+Ольга | [кулинария] | 44 | врач
+Анна | [путешествия] | 47 | маркетолог
+Наталья | [путешествия, кодинг] | 38 | маркетолог
+Татьяна | [садоводство, путешествия] | 53 | разработчик
+Ольга | [кодинг, кулинария, путешествия] | 35 | маркетолог
+Сергей | [путешествия] | 57 | аналитик данных
+Светлана | [шахматы, спорт] | 56 | инженер
+Ирина | [садоводство, фотография, путешествия] | 26 | дизайнер
+Екатерина | [путешествия] | 36 | учитель
+Алексей | [фотография, кодинг, кулинария] | 47 | разработчик
+Татьяна | [шахматы, кулинария] | 44 | аналитик данных
+Сергей | [кулинария, спорт, чтение] | 18 | учитель
+Наталья | [путешествия] | 37 | маркетолог
+Павел | [чтение, кодинг, путешествия] | 39 | экономист
+Сергей | [садоводство, фотография, чтение] | 39 | маркетолог
+Дмитрий | [садоводство, кодинг, кулинария] | 48 | врач
+Павел | [чтение, кодинг, кулинария] | 47 | экономист
